title,source,time_published,summary,url,text,tokens,clean_text
"Gaxos.ai (GXAI) asks shareholders to approve 1,000,000‑share plan and 1:2–1:50 reverse split",Stock Titan,20260622T205346,"Gaxos.ai Inc. is soliciting shareholder approval for an amendment to its 2022 Equity Incentive Plan, increasing the share pool to 1,000,000 shares, and for a board-authorized reverse stock split ranging from 1-for-2 to 1-for-50. The reverse split is aimed at addressing Nasdaq's minimum bid-price requirement and maintaining listing compliance. Both proposals will be voted on at the 2026 Annual Meeting of Shareholders scheduled for August 11, 2026.",https://www.stocktitan.net/sec-filings/GXAI/pre-14a-gaxos-ai-inc-preliminary-proxy-statement-4ef6e8fdae04.html,gaxosai gxai asks shareholders to approve 1000000share plan and 12150 reverse split gaxosai inc is soliciting shareholder approval for an amendment to its 2022 equity incentive plan increasing the share pool to 1000000 shares and for a boardauthorized reverse stock split ranging from 1for2 to 1for50 the reverse split is aimed at addressing nasdaqs minimum bidprice requirement and maintaining listing compliance both proposals will be voted on at the 2026 annual meeting of shareholders scheduled for august 11 2026,"['gaxosai', 'gxai', 'asks', 'shareholder', 'approve', '1000000share', 'plan', '12150', 'reverse', 'split', 'gaxosai', 'inc', 'soliciting', 'shareholder', 'approval', 'amendment', '2022', 'equity', 'incentive', 'plan', 'increasing', 'share', 'pool', '1000000', 'share', 'boardauthorized', 'reverse', 'stock', 'split', 'ranging', '1for2', '1for50', 'reverse', 'split', 'aimed', 'addressing', 'nasdaq', 'minimum', 'bidprice', 'requirement', 'maintaining', 'listing', 'compliance', 'proposal', 'voted', '2026', 'annual', 'meeting', 'shareholder', 'scheduled', 'august', '11', '2026']",gaxosai gxai asks shareholder approve 1000000share plan 12150 reverse split gaxosai inc soliciting shareholder approval amendment 2022 equity incentive plan increasing share pool 1000000 share boardauthorized reverse stock split ranging 1for2 1for50 reverse split aimed addressing nasdaq minimum bidprice requirement maintaining listing compliance proposal voted 2026 annual meeting shareholder scheduled august 11 2026
Form 8K Nextera Energy Inc For: 22 June By Investing.com,Investing.com Canada,20260622T205323,"This article reports on the filing of Form 8K by Nextera Energy Inc on June 22. It is a brief announcement from Investing.com, providing basic information about the regulatory filing for the company.",https://ca.investing.com/news/stock-market-news/form-8k-nextera-energy-inc-for-22-june-93CH-4701901,form 8k nextera energy inc for 22 june by investingcom this article reports on the filing of form 8k by nextera energy inc on june 22 it is a brief announcement from investingcom providing basic information about the regulatory filing for the company,"['form', '8k', 'nextera', 'energy', 'inc', '22', 'june', 'investingcom', 'article', 'report', 'filing', 'form', '8k', 'nextera', 'energy', 'inc', 'june', '22', 'brief', 'announcement', 'investingcom', 'providing', 'basic', 'information', 'regulatory', 'filing', 'company']",form 8k nextera energy inc 22 june investingcom article report filing form 8k nextera energy inc june 22 brief announcement investingcom providing basic information regulatory filing company
NextEra Energy sells $3.75B junior subordinated debentures with step-up rates,TradingView,20260622T205234,"NextEra Energy (NEE) has sold $3.75 billion of junior subordinated debentures across three series (AA, BB, CC) with initial fixed coupons ranging from 6.000% to 6.625%. After an initial period, rates will reset every five years based on the Five-Year Treasury plus a margin, but will not fall below the initial rates. These debentures are subordinated, guaranteed by NextEra Energy, and have optional redemption periods beginning in 2031, 2036, and 2046 respectively.",https://www.tradingview.com/news/tradingview:1c734875acf8f:0-nextera-energy-sells-3-75b-junior-subordinated-debentures-with-step-up-rates/,nextera energy sells 375b junior subordinated debentures with stepup rates nextera energy nee has sold 375 billion of junior subordinated debentures across three series aa bb cc with initial fixed coupons ranging from 6000 to 6625 after an initial period rates will reset every five years based on the fiveyear treasury plus a margin but will not fall below the initial rates these debentures are subordinated guaranteed by nextera energy and have optional redemption periods beginning in 2031 2036 and 2046 respectively,"['nextera', 'energy', 'sell', '375b', 'junior', 'subordinated', 'debenture', 'stepup', 'rate', 'nextera', 'energy', 'nee', 'sold', '375', 'billion', 'junior', 'subordinated', 'debenture', 'across', 'three', 'series', 'aa', 'bb', 'cc', 'initial', 'fixed', 'coupon', 'ranging', '6000', '6625', 'initial', 'period', 'rate', 'reset', 'every', 'five', 'year', 'based', 'fiveyear', 'treasury', 'plus', 'margin', 'fall', 'initial', 'rate', 'debenture', 'subordinated', 'guaranteed', 'nextera', 'energy', 'optional', 'redemption', 'period', 'beginning', '2031', '2036', '2046', 'respectively']",nextera energy sell 375b junior subordinated debenture stepup rate nextera energy nee sold 375 billion junior subordinated debenture across three series aa bb cc initial fixed coupon ranging 6000 6625 initial period rate reset every five year based fiveyear treasury plus margin fall initial rate debenture subordinated guaranteed nextera energy optional redemption period beginning 2031 2036 2046 respectively
"Director's trust at TransDigm (NYSE: TDG) exercises options, sells 10,132 shares",Stock Titan,20260622T205057,"TransDigm Group INC director W. Nicholas Howley's family trust exercised stock options for 10,132 shares of TransDigm common stock at $66.47 per share and subsequently sold all 10,132 common shares in open-market transactions. The sale prices ranged from approximately $1,305 to $1,337 per share. Following these transactions, the trust indirectly holds 31,679.513 common shares.",https://www.stocktitan.net/sec-filings/TDG/form-4-trans-digm-group-inc-insider-trading-activity-23682c8ff776.html,directors trust at transdigm nyse tdg exercises options sells 10132 shares transdigm group inc director w nicholas howleys family trust exercised stock options for 10132 shares of transdigm common stock at 6647 per share and subsequently sold all 10132 common shares in openmarket transactions the sale prices ranged from approximately 1305 to 1337 per share following these transactions the trust indirectly holds 31679513 common shares,"['director', 'trust', 'transdigm', 'nyse', 'tdg', 'exercise', 'option', 'sell', '10132', 'share', 'transdigm', 'group', 'inc', 'director', 'w', 'nicholas', 'howleys', 'family', 'trust', 'exercised', 'stock', 'option', '10132', 'share', 'transdigm', 'common', 'stock', '6647', 'per', 'share', 'subsequently', 'sold', '10132', 'common', 'share', 'openmarket', 'transaction', 'sale', 'price', 'ranged', 'approximately', '1305', '1337', 'per', 'share', 'following', 'transaction', 'trust', 'indirectly', 'hold', '31679513', 'common', 'share']",director trust transdigm nyse tdg exercise option sell 10132 share transdigm group inc director w nicholas howleys family trust exercised stock option 10132 share transdigm common stock 6647 per share subsequently sold 10132 common share openmarket transaction sale price ranged approximately 1305 1337 per share following transaction trust indirectly hold 31679513 common share
The DRAGEN v4.3 from Illumina Inc. - new pipelines push clinical sequencing speed,AD HOC NEWS,20260622T205050,"Illumina Inc. has launched DRAGEN v4.3, an update to its hardware-accelerated secondary analysis platform designed to significantly reduce turnaround times for whole genome and oncology sequencing. This new version offers faster processing for clinical and research labs, directly impacting patient diagnostics for rare diseases and oncology. While praised for its speed and accuracy, some users find its management consoles and update protocols challenging, highlighting Illumina's strategy to maintain its market position against intensifying competition.",https://www.ad-hoc-news.de/boerse/news/ueberblick/the-dragen-v4-3-from-illumina-inc-new-pipelines-push-clinical/69606316,the dragen v43 from illumina inc  new pipelines push clinical sequencing speed illumina inc has launched dragen v43 an update to its hardwareaccelerated secondary analysis platform designed to significantly reduce turnaround times for whole genome and oncology sequencing this new version offers faster processing for clinical and research labs directly impacting patient diagnostics for rare diseases and oncology while praised for its speed and accuracy some users find its management consoles and update protocols challenging highlighting illuminas strategy to maintain its market position against intensifying competition,"['dragen', 'v43', 'illumina', 'inc', 'new', 'pipeline', 'push', 'clinical', 'sequencing', 'speed', 'illumina', 'inc', 'launched', 'dragen', 'v43', 'update', 'hardwareaccelerated', 'secondary', 'analysis', 'platform', 'designed', 'significantly', 'reduce', 'turnaround', 'time', 'whole', 'genome', 'oncology', 'sequencing', 'new', 'version', 'offer', 'faster', 'processing', 'clinical', 'research', 'lab', 'directly', 'impacting', 'patient', 'diagnostics', 'rare', 'disease', 'oncology', 'praised', 'speed', 'accuracy', 'user', 'find', 'management', 'console', 'update', 'protocol', 'challenging', 'highlighting', 'illuminas', 'strategy', 'maintain', 'market', 'position', 'intensifying', 'competition']",dragen v43 illumina inc new pipeline push clinical sequencing speed illumina inc launched dragen v43 update hardwareaccelerated secondary analysis platform designed significantly reduce turnaround time whole genome oncology sequencing new version offer faster processing clinical research lab directly impacting patient diagnostics rare disease oncology praised speed accuracy user find management console update protocol challenging highlighting illuminas strategy maintain market position intensifying competition
"Linde plc consensus stays supportive, shares hold near recent Nasdaq highs",AD HOC NEWS,20260622T205010,"Linde plc's shares are trading near recent highs on Nasdaq, with analysts maintaining a largely supportive ""Buy"" consensus ahead of their next quarterly earnings release on July 31, 2026. The company, which generates revenue from supplying industrial gases, shows robust performance within the S&P 500 industrials segment, underpinned by stable earnings and cash generation. Despite some mixed analyst ratings, the overall sentiment remains positive, with recent price targets still indicating potential upside.",https://www.ad-hoc-news.de/boerse/news/ueberblick/linde-plc-consensus-stays-supportive-shares-hold-near-recent-nasdaq-highs/69606315,linde plc consensus stays supportive shares hold near recent nasdaq highs linde plcs shares are trading near recent highs on nasdaq with analysts maintaining a largely supportive buy consensus ahead of their next quarterly earnings release on july 31 2026 the company which generates revenue from supplying industrial gases shows robust performance within the sp 500 industrials segment underpinned by stable earnings and cash generation despite some mixed analyst ratings the overall sentiment remains positive with recent price targets still indicating potential upside,"['linde', 'plc', 'consensus', 'stay', 'supportive', 'share', 'hold', 'near', 'recent', 'nasdaq', 'high', 'linde', 'plcs', 'share', 'trading', 'near', 'recent', 'high', 'nasdaq', 'analyst', 'maintaining', 'largely', 'supportive', 'buy', 'consensus', 'ahead', 'next', 'quarterly', 'earnings', 'release', 'july', '31', '2026', 'company', 'generates', 'revenue', 'supplying', 'industrial', 'gas', 'show', 'robust', 'performance', 'within', 'sp', '500', 'industrials', 'segment', 'underpinned', 'stable', 'earnings', 'cash', 'generation', 'despite', 'mixed', 'analyst', 'rating', 'overall', 'sentiment', 'remains', 'positive', 'recent', 'price', 'target', 'still', 'indicating', 'potential', 'upside']",linde plc consensus stay supportive share hold near recent nasdaq high linde plcs share trading near recent high nasdaq analyst maintaining largely supportive buy consensus ahead next quarterly earnings release july 31 2026 company generates revenue supplying industrial gas show robust performance within sp 500 industrials segment underpinned stable earnings cash generation despite mixed analyst rating overall sentiment remains positive recent price target still indicating potential upside
"TransDigm (NYSE: TDG) director exercises options, sells 10,132 shares",Stock Titan,20260622T204957,"TransDigm Group director W. Nicholas Howley, through his family trust, exercised options to acquire 10,132 shares of TransDigm common stock at $66.47 per share on June 18. On the same day, the trust sold all 10,132 of these shares on the open market at prices ranging from approximately $1,305 to $1,337 per share. This exercise-and-sell transaction resulted in a net sale of 10,132 shares, valued at about $13.37 million.",https://www.stocktitan.net/sec-filings/TDG/form-4-trans-digm-group-inc-insider-trading-activity-c681aa5b3aa8.html,transdigm nyse tdg director exercises options sells 10132 shares transdigm group director w nicholas howley through his family trust exercised options to acquire 10132 shares of transdigm common stock at 6647 per share on june 18 on the same day the trust sold all 10132 of these shares on the open market at prices ranging from approximately 1305 to 1337 per share this exerciseandsell transaction resulted in a net sale of 10132 shares valued at about 1337 million,"['transdigm', 'nyse', 'tdg', 'director', 'exercise', 'option', 'sell', '10132', 'share', 'transdigm', 'group', 'director', 'w', 'nicholas', 'howley', 'family', 'trust', 'exercised', 'option', 'acquire', '10132', 'share', 'transdigm', 'common', 'stock', '6647', 'per', 'share', 'june', '18', 'day', 'trust', 'sold', '10132', 'share', 'open', 'market', 'price', 'ranging', 'approximately', '1305', '1337', 'per', 'share', 'exerciseandsell', 'transaction', 'resulted', 'net', 'sale', '10132', 'share', 'valued', '1337', 'million']",transdigm nyse tdg director exercise option sell 10132 share transdigm group director w nicholas howley family trust exercised option acquire 10132 share transdigm common stock 6647 per share june 18 day trust sold 10132 share open market price ranging approximately 1305 1337 per share exerciseandsell transaction resulted net sale 10132 share valued 1337 million
Form 4 Guidewire Software Inc For: 22 June By Investing.com,Investing.com Canada,20260622T204933,"This article from Investing.com announces a Form 4 filing for Guidewire Software Inc. on June 22. It is a brief, one-sentence notification focusing solely on the financial filing. The article does not provide further details about the Form 4's content but includes current market data for various indices, commodities, and stocks.",https://ca.investing.com/news/stock-market-news/form-4-guidewire-software-inc-for-22-june-93CH-4701864,form 4 guidewire software inc for 22 june by investingcom this article from investingcom announces a form 4 filing for guidewire software inc on june 22 it is a brief onesentence notification focusing solely on the financial filing the article does not provide further details about the form 4s content but includes current market data for various indices commodities and stocks,"['form', '4', 'guidewire', 'software', 'inc', '22', 'june', 'investingcom', 'article', 'investingcom', 'announces', 'form', '4', 'filing', 'guidewire', 'software', 'inc', 'june', '22', 'brief', 'onesentence', 'notification', 'focusing', 'solely', 'financial', 'filing', 'article', 'provide', 'detail', 'form', '4', 'content', 'includes', 'current', 'market', 'data', 'various', 'index', 'commodity', 'stock']",form 4 guidewire software inc 22 june investingcom article investingcom announces form 4 filing guidewire software inc june 22 brief onesentence notification focusing solely financial filing article provide detail form 4 content includes current market data various index commodity stock
The Real Price Of Admission For Broadcom Stock,Trefis,20260622T204910,"Broadcom stock (AVGO) appears expensive at first glance due to its high price-to-earnings multiple, but this perspective changes significantly when considering projected earnings growth over three years. Analysts forecast substantial growth, particularly in AI semiconductor revenue, which effectively lowers the true multiple a patient investor pays for future earnings. The article emphasizes that while the stock isn't ""cheap,"" the current price doesn't overpay for its underlying growth, hinting at potential appreciation if the market continues to value it as a premier growth company.",https://www.trefis.com/stock/avgo/articles/603829/the-real-price-of-admission-for-broadcom-stock/2026-06-22,the real price of admission for broadcom stock broadcom stock avgo appears expensive at first glance due to its high pricetoearnings multiple but this perspective changes significantly when considering projected earnings growth over three years analysts forecast substantial growth particularly in ai semiconductor revenue which effectively lowers the true multiple a patient investor pays for future earnings the article emphasizes that while the stock isnt cheap the current price doesnt overpay for its underlying growth hinting at potential appreciation if the market continues to value it as a premier growth company,"['real', 'price', 'admission', 'broadcom', 'stock', 'broadcom', 'stock', 'avgo', 'appears', 'expensive', 'first', 'glance', 'due', 'high', 'pricetoearnings', 'multiple', 'perspective', 'change', 'significantly', 'considering', 'projected', 'earnings', 'growth', 'three', 'year', 'analyst', 'forecast', 'substantial', 'growth', 'particularly', 'ai', 'semiconductor', 'revenue', 'effectively', 'lower', 'true', 'multiple', 'patient', 'investor', 'pay', 'future', 'earnings', 'article', 'emphasizes', 'stock', 'isnt', 'cheap', 'current', 'price', 'doesnt', 'overpay', 'underlying', 'growth', 'hinting', 'potential', 'appreciation', 'market', 'continues', 'value', 'premier', 'growth', 'company']",real price admission broadcom stock broadcom stock avgo appears expensive first glance due high pricetoearnings multiple perspective change significantly considering projected earnings growth three year analyst forecast substantial growth particularly ai semiconductor revenue effectively lower true multiple patient investor pay future earnings article emphasizes stock isnt cheap current price doesnt overpay underlying growth hinting potential appreciation market continues value premier growth company
Form 8K Public Storage For: 22 June By Investing.com,Investing.com Canada,20260622T204839,"This article announces the filing of Form 8K by Public Storage on June 22. It is a brief news item published by Investing.com, likely indicating a significant event or disclosure relevant to investors in Public Storage (PSA).",https://ca.investing.com/news/stock-market-news/form-8k-public-storage-for-22-june-93CH-4701850,form 8k public storage for 22 june by investingcom this article announces the filing of form 8k by public storage on june 22 it is a brief news item published by investingcom likely indicating a significant event or disclosure relevant to investors in public storage psa,"['form', '8k', 'public', 'storage', '22', 'june', 'investingcom', 'article', 'announces', 'filing', 'form', '8k', 'public', 'storage', 'june', '22', 'brief', 'news', 'item', 'published', 'investingcom', 'likely', 'indicating', 'significant', 'event', 'disclosure', 'relevant', 'investor', 'public', 'storage', 'psa']",form 8k public storage 22 june investingcom article announces filing form 8k public storage june 22 brief news item published investingcom likely indicating significant event disclosure relevant investor public storage psa
